,recipeA,recipeB,shared_ingred
461,Mustard and thyme crusted rib-eye of beef ,American style pancakes with sausage,1
462,Mustard and thyme crusted rib-eye of beef ,American-style pancakes with blueberries,2
463,Mustard and thyme crusted rib-eye of beef ,American-style pancakes with blueberries,1
464,Mustard and thyme crusted rib-eye of beef ,Anatra con melagrana (duck with pomegranate) and sautéed escarole,2
465,Mustard and thyme crusted rib-eye of beef ,An authentic ragù bolognese,2
466,Mustard and thyme crusted rib-eye of beef ,Anchoïade dip,2
467,Mustard and thyme crusted rib-eye of beef ,Anchoïade with crudites,3
468,Mustard and thyme crusted rib-eye of beef ,Anchovy and sage crisps,2
469,Mustard and thyme crusted rib-eye of beef ,Pork chops with celeriac mash and apple and ale gravy,4
470,Mustard and thyme crusted rib-eye of beef ,An extraordinary way with lettuce,2
471,Mustard and thyme crusted rib-eye of beef ,Andalucian shrimp and spring onion fritters,1
472,Mustard and thyme crusted rib-eye of beef ,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",2
473,Mustard and thyme crusted rib-eye of beef ,Feijoada ,2
474,Mustard and thyme crusted rib-eye of beef ,Angela's slow roasted ginger pork,1
475,Mustard and thyme crusted rib-eye of beef ,Angel food cake with lemon curd,2
476,Mustard and thyme crusted rib-eye of beef ,Chicken in white wine sauce,3
477,Mustard and thyme crusted rib-eye of beef ,Annika's glögg (Annika’s mulled wine),2
478,Mustard and thyme crusted rib-eye of beef ,Anolini in brodo (meat filled pasta in chicken broth),2
479,Mustard and thyme crusted rib-eye of beef ,Easy cookies,2
480,Mustard and thyme crusted rib-eye of beef ,Anglesey eggs with bacon chops,3
481,Mustard and thyme crusted rib-eye of beef ,Antony's 'mainstay' mince,3
482,Mustard and thyme crusted rib-eye of beef ,Aperitivo di passata,2
483,Mustard and thyme crusted rib-eye of beef ,Apple and blueberry cobbler,1
484,Mustard and thyme crusted rib-eye of beef ,Delia's any kind of cheese sauce,2
485,Mustard and thyme crusted rib-eye of beef ,Apple and blackberry crumble,2
486,Mustard and thyme crusted rib-eye of beef ,Apple and blueberry pie,2
487,Mustard and thyme crusted rib-eye of beef ,Apple and carrot sesame crumble,1
488,Mustard and thyme crusted rib-eye of beef ,Apple and Cheshire cheese bake,0
489,Mustard and thyme crusted rib-eye of beef ,Apple and bacon chutney,1
490,Mustard and thyme crusted rib-eye of beef ,Apple and cinnamon kugelhopf with honeyed apples,2
491,Mustard and thyme crusted rib-eye of beef ,Loaf cake with apple and cinnamon,1
492,Mustard and thyme crusted rib-eye of beef ,Apple and filo tart with scallops and bacon salad,4
493,Mustard and thyme crusted rib-eye of beef ,Apple and lemon kites ,1
494,Mustard and thyme crusted rib-eye of beef ,Apple and passion fruit tartlets,2
495,Aberdeen butteries (Rowies),15 minute pasta,1
496,Aberdeen butteries (Rowies),3D biscuits ,3
497,Aberdeen butteries (Rowies),2-hour Christmas dinner,2
498,Aberdeen butteries (Rowies),Mustard and thyme crusted rib-eye of beef ,2
499,Aberdeen butteries (Rowies),Aberdeen butteries (Rowies),8
500,Aberdeen butteries (Rowies),Abundant steamed sea bass and seasonal clams with sizzling oil,1
501,Aberdeen butteries (Rowies),A classic sponge cake (with passion fruit filling),2
502,Aberdeen butteries (Rowies),Lemon curd ice cream,1
503,Aberdeen butteries (Rowies),"A creamy, crunchy fruit sundae",1
504,Aberdeen butteries (Rowies),"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",3
505,Aberdeen butteries (Rowies),Ackee and saltfish,3
506,Aberdeen butteries (Rowies),Aged sirloin steak with Thai salad and toasted hazelnuts,1
507,Aberdeen butteries (Rowies),Aglio e peperoncino,0
508,Aberdeen butteries (Rowies),Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),2
509,Aberdeen butteries (Rowies),Aïoli,0
510,Aberdeen butteries (Rowies),Adhraki gosht (lamb masala in a tomato and ginger sauce),2
511,Aberdeen butteries (Rowies),Ajwain parathas ,3
512,Aberdeen butteries (Rowies),Albanian baked lamb with rice (Tavë kosi),3
513,Aberdeen butteries (Rowies),Saturday Kitchen Sling ,1
514,Aberdeen butteries (Rowies),Aji de gallina,2
515,Aberdeen butteries (Rowies),Ajitsuke tamago (Japanese pickled eggs),1
516,Aberdeen butteries (Rowies),Albondigas (spicy Mexican meatballs with red rice),4
517,Aberdeen butteries (Rowies),All-in-one rib roast with horseradish glaze,1
518,Aberdeen butteries (Rowies),"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",2
519,Aberdeen butteries (Rowies),All-day breakfast frittata,1
520,Aberdeen butteries (Rowies),All-purpose easy butter cake,4
521,Aberdeen butteries (Rowies),Ale fruit loaf,2
522,Aberdeen butteries (Rowies),All-in-one white sauce,2
523,Aberdeen butteries (Rowies),Almond and cauliflower korma curry,1
524,Aberdeen butteries (Rowies),"Almond, cranberry and orange biscotti",3
525,Aberdeen butteries (Rowies),Almond-crusted salmon with chilli spinach,1
526,Aberdeen butteries (Rowies),Almond and lemon polenta cake with orange mascarpone,2
527,Aberdeen butteries (Rowies),Almond lentil stew,2
528,Aberdeen butteries (Rowies),Almond dipping sauce with pitta bread fingers,3
529,Aberdeen butteries (Rowies),Almond pancakes with ice cream and toffee sauce,3
530,Aberdeen butteries (Rowies),Almond puddings with Christmas pudding ice cream,3
531,Aberdeen butteries (Rowies),Almond-rolled goats' cheese,4
532,Aberdeen butteries (Rowies),Almond rice pudding and cherry compôte,2
533,Aberdeen butteries (Rowies),Almond praline,0
534,Aberdeen butteries (Rowies),Almondy mince pies,3
535,Aberdeen butteries (Rowies),Almond tart,2
536,Aberdeen butteries (Rowies),Almond semifreddo,1
537,Aberdeen butteries (Rowies),Alpine pizza,5
538,Aberdeen butteries (Rowies),Almond soup,3
539,Aberdeen butteries (Rowies),Alternative fish and chips,5
540,Aberdeen butteries (Rowies),Aloo panchporan (Stir-fried potatoes tempered with five spices),3
541,Aberdeen butteries (Rowies),Amaretti and berry sundae,1
542,Aberdeen butteries (Rowies),Amaretti biscuits,1
543,Aberdeen butteries (Rowies),"Salt crust chicken with peas, broad beans and mousseron mushrooms",5
544,Aberdeen butteries (Rowies),Amaretti tiramisu,1
545,Aberdeen butteries (Rowies),Amaretti biscuits,0
546,Aberdeen butteries (Rowies),Amaretti-stuffed pears with red wine and vanilla sauce,1
547,Aberdeen butteries (Rowies),Amaretti biscuits,2
548,Aberdeen butteries (Rowies),A medley of shellfish with baby vegetables,2
549,Aberdeen butteries (Rowies),Amaretto vanilla custard,1
550,Aberdeen butteries (Rowies),Amazing apple tarts,2
551,Aberdeen butteries (Rowies),American baked cheesecake,3
552,Aberdeen butteries (Rowies),American-style pancakes with bacon and maple syrup,3
553,Aberdeen butteries (Rowies),Gluten-free American buttermilk pancakes,4
554,Aberdeen butteries (Rowies),American pancakes with flambéed cherries and warm chocolate sauce,3
555,Aberdeen butteries (Rowies),Chocolate ripple cheesecake,2
556,Aberdeen butteries (Rowies),Breakfast muffins,4
557,Aberdeen butteries (Rowies),American fried chicken with spicy chickpeas and honey glazed tomatoes,2
558,Aberdeen butteries (Rowies),American-style chocolate brownies,3
559,Aberdeen butteries (Rowies),American-style mango pancakes,4
560,Aberdeen butteries (Rowies),American style pancakes with sausage,3
561,Aberdeen butteries (Rowies),American-style pancakes with blueberries,3
562,Aberdeen butteries (Rowies),American-style pancakes with blueberries,3
563,Aberdeen butteries (Rowies),Anatra con melagrana (duck with pomegranate) and sautéed escarole,3
564,Aberdeen butteries (Rowies),An authentic ragù bolognese,1
565,Aberdeen butteries (Rowies),Anchoïade dip,1
566,Aberdeen butteries (Rowies),Anchoïade with crudites,2
567,Aberdeen butteries (Rowies),Anchovy and sage crisps,3
568,Aberdeen butteries (Rowies),Pork chops with celeriac mash and apple and ale gravy,3
569,Aberdeen butteries (Rowies),An extraordinary way with lettuce,3
570,Aberdeen butteries (Rowies),Andalucian shrimp and spring onion fritters,3
571,Aberdeen butteries (Rowies),"Andalucian pork with apricots, prunes and herbs, rolled in paprika",1
572,Aberdeen butteries (Rowies),Feijoada ,1
573,Aberdeen butteries (Rowies),Angela's slow roasted ginger pork,1
574,Aberdeen butteries (Rowies),Angel food cake with lemon curd,4
575,Aberdeen butteries (Rowies),Chicken in white wine sauce,3
576,Aberdeen butteries (Rowies),Annika's glögg (Annika’s mulled wine),1
577,Aberdeen butteries (Rowies),Anolini in brodo (meat filled pasta in chicken broth),3
578,Aberdeen butteries (Rowies),Easy cookies,4
579,Aberdeen butteries (Rowies),Anglesey eggs with bacon chops,3
580,Aberdeen butteries (Rowies),Antony's 'mainstay' mince,1
581,Aberdeen butteries (Rowies),Aperitivo di passata,2
582,Aberdeen butteries (Rowies),Apple and blueberry cobbler,1
583,Aberdeen butteries (Rowies),Delia's any kind of cheese sauce,3
584,Aberdeen butteries (Rowies),Apple and blackberry crumble,4
585,Aberdeen butteries (Rowies),Apple and blueberry pie,2
586,Aberdeen butteries (Rowies),Apple and carrot sesame crumble,4
587,Aberdeen butteries (Rowies),Apple and Cheshire cheese bake,2
588,Aberdeen butteries (Rowies),Apple and bacon chutney,1
589,Aberdeen butteries (Rowies),Apple and cinnamon kugelhopf with honeyed apples,5
590,Aberdeen butteries (Rowies),Loaf cake with apple and cinnamon,1
591,Aberdeen butteries (Rowies),Apple and filo tart with scallops and bacon salad,3
592,Aberdeen butteries (Rowies),Apple and lemon kites ,4
593,Aberdeen butteries (Rowies),Apple and passion fruit tartlets,5
594,Abundant steamed sea bass and seasonal clams with sizzling oil,15 minute pasta,2
595,Abundant steamed sea bass and seasonal clams with sizzling oil,3D biscuits ,2
596,Abundant steamed sea bass and seasonal clams with sizzling oil,2-hour Christmas dinner,3
597,Abundant steamed sea bass and seasonal clams with sizzling oil,Mustard and thyme crusted rib-eye of beef ,3
598,Abundant steamed sea bass and seasonal clams with sizzling oil,Aberdeen butteries (Rowies),1
599,Abundant steamed sea bass and seasonal clams with sizzling oil,Abundant steamed sea bass and seasonal clams with sizzling oil,13
600,Abundant steamed sea bass and seasonal clams with sizzling oil,A classic sponge cake (with passion fruit filling),2
601,Abundant steamed sea bass and seasonal clams with sizzling oil,Lemon curd ice cream,1
602,Abundant steamed sea bass and seasonal clams with sizzling oil,"A creamy, crunchy fruit sundae",3
603,Abundant steamed sea bass and seasonal clams with sizzling oil,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",2
604,Abundant steamed sea bass and seasonal clams with sizzling oil,Ackee and saltfish,2
605,Abundant steamed sea bass and seasonal clams with sizzling oil,Aged sirloin steak with Thai salad and toasted hazelnuts,5
606,Abundant steamed sea bass and seasonal clams with sizzling oil,Aglio e peperoncino,0
607,Abundant steamed sea bass and seasonal clams with sizzling oil,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),2
608,Abundant steamed sea bass and seasonal clams with sizzling oil,Aïoli,1
609,Abundant steamed sea bass and seasonal clams with sizzling oil,Adhraki gosht (lamb masala in a tomato and ginger sauce),3
610,Abundant steamed sea bass and seasonal clams with sizzling oil,Ajwain parathas ,1
611,Abundant steamed sea bass and seasonal clams with sizzling oil,Albanian baked lamb with rice (Tavë kosi),2
612,Abundant steamed sea bass and seasonal clams with sizzling oil,Saturday Kitchen Sling ,2
613,Abundant steamed sea bass and seasonal clams with sizzling oil,Aji de gallina,2
614,Abundant steamed sea bass and seasonal clams with sizzling oil,Ajitsuke tamago (Japanese pickled eggs),3
615,Abundant steamed sea bass and seasonal clams with sizzling oil,Albondigas (spicy Mexican meatballs with red rice),3
616,Abundant steamed sea bass and seasonal clams with sizzling oil,All-in-one rib roast with horseradish glaze,0
617,Abundant steamed sea bass and seasonal clams with sizzling oil,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",2
618,Abundant steamed sea bass and seasonal clams with sizzling oil,All-day breakfast frittata,2
619,Abundant steamed sea bass and seasonal clams with sizzling oil,All-purpose easy butter cake,1
620,Abundant steamed sea bass and seasonal clams with sizzling oil,Ale fruit loaf,1
621,Abundant steamed sea bass and seasonal clams with sizzling oil,All-in-one white sauce,1
622,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond and cauliflower korma curry,3
623,Abundant steamed sea bass and seasonal clams with sizzling oil,"Almond, cranberry and orange biscotti",3
624,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond-crusted salmon with chilli spinach,2
625,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond and lemon polenta cake with orange mascarpone,2
626,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond lentil stew,1
627,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond dipping sauce with pitta bread fingers,1
628,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond pancakes with ice cream and toffee sauce,2
629,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond puddings with Christmas pudding ice cream,2
630,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond-rolled goats' cheese,2
631,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond rice pudding and cherry compôte,2
632,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond praline,1
633,Abundant steamed sea bass and seasonal clams with sizzling oil,Almondy mince pies,2
634,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond tart,1
635,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond semifreddo,2
636,Abundant steamed sea bass and seasonal clams with sizzling oil,Alpine pizza,2
637,Abundant steamed sea bass and seasonal clams with sizzling oil,Almond soup,2
638,Abundant steamed sea bass and seasonal clams with sizzling oil,Alternative fish and chips,2
639,Abundant steamed sea bass and seasonal clams with sizzling oil,Aloo panchporan (Stir-fried potatoes tempered with five spices),2
640,Abundant steamed sea bass and seasonal clams with sizzling oil,Amaretti and berry sundae,3
641,Abundant steamed sea bass and seasonal clams with sizzling oil,Amaretti biscuits,1
642,Abundant steamed sea bass and seasonal clams with sizzling oil,"Salt crust chicken with peas, broad beans and mousseron mushrooms",2
643,Abundant steamed sea bass and seasonal clams with sizzling oil,Amaretti tiramisu,2
644,Abundant steamed sea bass and seasonal clams with sizzling oil,Amaretti biscuits,1
645,Abundant steamed sea bass and seasonal clams with sizzling oil,Amaretti-stuffed pears with red wine and vanilla sauce,2
646,Abundant steamed sea bass and seasonal clams with sizzling oil,Amaretti biscuits,2
647,Abundant steamed sea bass and seasonal clams with sizzling oil,A medley of shellfish with baby vegetables,2
648,Abundant steamed sea bass and seasonal clams with sizzling oil,Amaretto vanilla custard,2
649,Abundant steamed sea bass and seasonal clams with sizzling oil,Amazing apple tarts,2
650,Abundant steamed sea bass and seasonal clams with sizzling oil,American baked cheesecake,2
651,Abundant steamed sea bass and seasonal clams with sizzling oil,American-style pancakes with bacon and maple syrup,2
652,Abundant steamed sea bass and seasonal clams with sizzling oil,Gluten-free American buttermilk pancakes,1
653,Abundant steamed sea bass and seasonal clams with sizzling oil,American pancakes with flambéed cherries and warm chocolate sauce,1
654,Abundant steamed sea bass and seasonal clams with sizzling oil,Chocolate ripple cheesecake,2
655,Abundant steamed sea bass and seasonal clams with sizzling oil,Breakfast muffins,2
656,Abundant steamed sea bass and seasonal clams with sizzling oil,American fried chicken with spicy chickpeas and honey glazed tomatoes,1
657,Abundant steamed sea bass and seasonal clams with sizzling oil,American-style chocolate brownies,2
658,Abundant steamed sea bass and seasonal clams with sizzling oil,American-style mango pancakes,1
659,Abundant steamed sea bass and seasonal clams with sizzling oil,American style pancakes with sausage,1
660,Abundant steamed sea bass and seasonal clams with sizzling oil,American-style pancakes with blueberries,2
