,Recipe,Prep Time,Photo URL,ingredient_0,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,method_0,method_1,method_2,method_3,method_4,method_5,method_6,method_7,method_8
407,Baked ginger parkin with rhubarb,30,,light brown sugar,soften butter,golden syrup,black treacle,oat flake,self-raising flour,tbsp ground ginger,tsp ground nutmeg,tsp mixed spice,salt,free-range egg,oz milk,vanilla ice cream,butter,thicken,mix,fry,bake,heat,cool,top,boil,melt
408,Baked ginger parkin with perry poached pear,30,,self-raising flour,salt,tbsp ground ginger,tsp ground nutmeg,tsp mixed spice,oat flake,golden syrup,black treacle,unsalted butter,soft brown sugar,free-range egg,tsp whole milk,firm pear,oz perry,mix,bake,heat,cool,top,boil,melt,simmer,combine
409,Baked goats' cheese on toast with cherry tomatoes and herb paste,40,,wholemeal pitta bread,' cheese log,yellow cherry tomato,tbsp balsamic vinegar,tbsp olive oil,handful fresh parsley,handful fresh basil,garlic clove,tbsp olive oil,ground black pepper,,,,,garnish,melt,drizzle,oil,process,bake,slice,serve,turn
410,Baked goats' cheese with gazpacho sauce and coleslaw salad,40,,ripe tomato,garlic clove,handful fresh chive,white wine vinegar,tbsp olive oil,ground black pepper,¼ sweet potato,½ red onion,carrot,free-range egg yolk,tsp wholegrain mustard,tbsp olive oil,white wine vinegar,ground black pepper,mix,blend,stir,drizzle,oil,salt,bake,slice,serve
411,Baked haddock gratin,30,,milk,tsp cayenne pepper,butter,ground black pepper,¼ head broccoli,haddock fillet,parmesan,,,,,,,,melt,simmer,salt,bake,grate,serve,combine,season,heat
412,Baked heritage carrots with pan-fried scallops ,30,,size heritage carrot,unsalted butter,slice fresh ginger,sprig fresh thyme,sprig fresh tarragon,garlic clove,piece orange peel,carrot,tbsp ginger juice,carrot purée,tsp orange juice,tbsp carrot juice,tbsp ginger juice,tbsp rapeseed oil,steam,juice,warm,blend,oil,fry,peel,salt,bake
413,Baked haddock with crushed peas and chive butter sauce,30,,undyed smoke haddock,tbsp olive oil,hot chicken stock,clove garlic,pea,oz double cream,butter,oz double cream,½ lemon,tsp dijon mustard,tbsp chive,ground black pepper,chervil,,boil,melt,juice,garnish,drizzle,oil,simmer,salt,bake
414,Baked herby tomatoes,30,,ripe firm ),ground black pepper,shallot,garlic clove,fresh thyme leaf,virgin olive oil,anchovy fillet,fresh flatleaf parsley,dry chilli flake,fresh white breadcrumb,oil balsamic vinegar,,,,bread,blend,drizzle,oil,salt,bake,dry,fold,combine
415,"Baked ham with cider and spices, quince and orange sauce",120,,) gammon ham,ham pot ),litre ) cider,carton apple juice,large onion,bay leaf,peppercorn,) butter,brown muscovado sugar,) dry mustard,) ground clove,) ground cinnamon,clove,) quince jelly,mix,skim,heat,top,skin,boil,melt,simmer,slice
416,"Roasted pepper, broccoli and lemon salad",30,,olive oil,purple sprout broccoli,â˝ romero pepper,â˝ onion,clove garlic,lime,lemon,ground black pepper,,,,,,,juice,drizzle,oil,fry,salt,serve,roast,season,heat
417,Baked lamb with herbs and peppers,150,,lamb shoulder,bunch rosemary,bulb fat garlic,olive oil,sea salt,black peppercorn,red pepper,new potato,carrot,parsnip,garlic,lemon,flour,butter,layer,mix,juice,roll,oil,salt,bake,slice,serve
418,Baked lemon and vanilla cheesecake,60,,butter,digestive biscuit,amaretti biscuit,soft brown sugar,ground almond,cream cheese,ricotta cheese,juice rind lemon,vanilla pod,caster sugar,egg,oz double cream,salt,ice sugar,mix,bake,heat,cool,melt,roll,beat,combine,turn
419,Baked lime cheesecake,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedlimecheesecake_90177_16x9.jpg,large digestive biscuit,ginger biscuit,butter,cream cheese,double cream,caster sugar,large free-range egg,lime,½ pineapple,passion fruit,double cream,ice sugar,,,blend,process,bake,can,cool,top,skin,melt,beat
420,Baked macaroni,60,,oz whole milk,bay leaf,butter,plain flour,gruyere cheese,tsp english mustard,ground black pepper,tbsp butter,shallot,macaroni,cherry tomato,sun-blushed tomato,splash milk,freshly grate parmesan,boil,melt,simmer,fry,salt,bake,grate,serve,combine
421,Baked macaroni with meatballs,60,,oz whole milk,bay leaf,unsalted butter,plain flour,mature cheddar gruyere,tsp english mustard,ground black pepper,tbsp olive oil,½ onion,garlic clove,tsp dry oregano,mince rump steak,tbsp olive oil,shallot,mix,process,fry,bake,scald,heat,cool,top,boil
422,Baked mango,40,,â˝ mango,chilli flake,â˝ lime,tbsp honey,,,,,,,,,,,juice,drizzle,score,bake,serve,turn,,,
423,Baked mango with ginger chilli syrup,40,,â˝ mango,lime,tbsp caster sugar,'s eye chilli,root ginger,,,,,,,,,,juice,drizzle,score,bake,serve,turn,cut,heat,skin
424,Baked mango with whipped cream,40,,mango,tbsp honey,chilli flake,â˝ tsp cinnamon,tbsp double cream,,,,,,,,,,drizzle,whip,bake,serve,sprinkle,cream,,,
425,Baked papaya with lime sugar and yoghurt,30,,papaya,butter,lime,soft brown sugar,lemon,greek-style yoghurt,,,,,,,,,melt,juice,drizzle,bake,serve,roast,cut,heat,wedge
426,Baked meatballs with hidden veggies,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_meatballs_with_17989_16x9.jpg,tbsp sunflower oil,onion,sweet potato,garlic clove,tin chopped tomato,tbsp tomato purée,tsp dry oregano,bay leaf,ground black pepper,slice bread,tbsp milk,small onion,carrot,courgette,mix,bread,fry,bake,heat,boil,melt,roll,mash
427,Baked mushroom rarebit with apple and tomato chutney,30,,large field mushroom,stilton cheese,cheddar cheese,oz milk,flour,breadcrumb,worcestershire sauce,free-range egg,free-range egg yolk,english mustard powder,salt white pepper,tbsp olive oil,ciabatta bread,demerara brown sugar,mix,bake,heat,cool,burn,toast,boil,melt,simmer
428,Baked pasta shells filled with cheese,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedpastashellsfill_70348_16x9.jpg,pasta shell ),( see ),grate parmesan cheese,ball mozzarella,ricotta,ball mozzarella cheese,freshly grate parmesan,fresh basil leaf,ground black pepper,tbsp olive oil,garlic clove,tin plum tomato,handful fresh basil,ground black pepper,mix,sweat,fry,bake,heat,cool,top,layer,boil
429,Baked onion soup with gruyere cheese and madeira,30,,brown onion,unsalted butter,tbsp olive oil,tsp thyme leaf,bay leaf,tsp salt,tsp caster sugar,plain flour,dry white wine,chicken vegetable stock,gruyère cheese,slice french bread,garlic clove,egg yolk,beat,oil,salt,slice,combine,serve,brown,can,heat
430,Baked peaches with crushed amaretti,30,,butter,amaretti biscuit,tbsp honey,good vin santo,peach,demerara sugar,,,,,,,,,melt,mix,drizzle,bake,serve,brown,sprinkle,,
431,Baked pear,30,,cranberry sauce jar,tbsp double cream,pear,stilton,,,,,,,,,,,melt,bake,serve,stuff,heat,pour,cream,,
432,Baked peaches with amaretti crumble and cream,30,,whole hazelnut,oat biscuit,amaretti biscuit,unsalted butter,caster sugar,free-range egg yolk,½ lemon,ripe peach nectarine,tsp lemon zest,tbsp thick cream,( optional ),,,,scoop,mix,juice,roll,garnish,fry,bake,dry,slice
433,"Baked pear with mint, feta and honey",40,,pear,feta,olive oil,tbsp honey,fresh mint sprig,,,,,,,,,,garnish,drizzle,oil,bake,slice,serve,top,,
434,Baked pappardelle with pancetta and porcini,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_pappardelle_with_21046_16x9.jpg,oz milk,dry porcini mushroom,butter,plain flour,ground black pepper,pappardelle,pancetta,freshly grate parmesan,,,,,,,thicken,boil,roll,warm,salt,press,drain,bake,soak
435,Baked parkin with roasted rhubarb,30,,self-raising flour,salt,tbsp ground ginger,freshly grate nutmeg,ground mixed spice,oat flake,oz golden syrup,oz black treacle,unsalted butter,dark brown sugar,medium free-range egg,oz milk,stick fresh rhubarb,sugar,mix,bake,heat,top,melt,combine,roast,turn,cut
436,Baked plum tart,30,,butter,self-raising flour,caster sugar,orange,milk,plum,butter,demerara sugar,tsp ground cinnamon,,,,,,mix,juice,roll,grease,drizzle,sprinkle,bake,dry,combine
437,Grilled Portobello mushrooms with mushroom sauce and broccoli salad,30,,clove garlic,butter,portobello mushroom,ground black pepper,olive oil,¼ leek,clove garlic,chestnut mushroom,close cap mushroom,oz double cream,tsp dijon mustard,fresh parsley,oz broccoli floret,tbsp olive oil,mix,steam,warm,oil,salt,serve,roast,brown,toss
438,"Baked potato gnocchi, cavolo nero and pumpkin",30,,catriona spunta ),tbsp olive oil,leaf cavolo nero,( delica ),free-range egg,plain flour,oz double cream,butter,bunch fresh chive,lemon,salt,,,,fry,bake,heat,skin,layer,boil,roll,simmer,season
439,Kids' baked potato gnocchi with pesto,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_potato_gnocchi_10745_16x9.jpg,fresh basil,½ clove garlic,( optional ),tbsp grate parmesan,extra-virgin olive oil,ground black pepper,( leftover ),free-range egg,flour mix ),finely grate cheese,( optional ),cooked squash carrot,chopped cooked spinach,fresh herb basil,mix,blend,bake,can,rise,cool,toast,boil,roll
440,Sausage and ricotta pasta bake,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedpennewithricott_91319_16x9.jpg,tsp vegetable oil,red onion,red chilli,garlic clove,good-quality herb sausage,penne,ricotta,ripe tomato,parmesan shaving,chopped fresh parsley,ready-made garlic baguette,,,,melt,bread,oil,fry,bake,slice,combine,serve,heat
441,Baked potato with leeks,30,,baking potato,tbsp olive oil,medium leek,milk,butter,tbsp plain flour,cheddar cheese,½ tsp mustard,ground nutmeg,ground black pepper,,,,,bake,blanch,heat,skin,boil,melt,mash,simmer,slice
442,Baked raspberry cheesecake,30,,digestive biscuit,tbsp unsalted butter,tbsp sugar,salt,cream cheese,oz sour cream,oz double cream,sugar,large free-range egg,vanilla pod,good-quality raspberry jam,fresh raspberry,,,mix,bake,can,rise,cool,top,heat,burn,strain
443,Baked reblochon cheese with deep-fried blue cheese beignets and seasonal vegetables,60,,( box ),tbsp olive oil,unsalted butter,¼ brioche loaf,sprig fresh thyme,butter,plain flour,medium free-range egg,stilton cheese,ground black pepper,½ cauliflower,bunch baby carrot,french bean,,mix,fry,score,bake,can,heat,top,toast,skin
444,Baked rhubarb compôte,0,,'champagne ' rhubarb,caster sugar,vanilla pod,butter,,,,,,,,,,,mix,bake,drain,cut,cool,macerate,,,
445,"Baked potato with bacon, taleggio and leek",30,,large baking potato,tbsp olive oil,sea salt,butter,shallot,garlic clove,leek,oz white wine,oz double cream,taleggio cheese,slice streaky bacon,ground black pepper,,,thicken,pour,oil,fry,salt,quarter,bake,chop,cool
446,Baked rice pudding with spiced apple compôte,30,,butter,sugar,round-grain pudding rice,oz milk,vanilla pod,oz double cream,salt,butter,demerara sugar,bramley apple,tsp ground ginger,tsp ground cinnamon,¼ tsp nutmeg,,boil,simmer,salt,bake,serve,combine,heat,cool,top
447,Baked raspberry cheesecake,60,,ready-made sponge base,tbsp raspberry liqueur,caster sugar,lemon,tbsp cornflour,full-fat cream cheese,free-range egg,vanilla pod,oz double cream,raspberry,white chocolate,raspberry,tbsp raspberry liqueur,lemon,mix,blend,fry,bake,heat,cool,top,beat,whip
448,"Baked cheesecake with blackberries, blueberries and  figs ",60,,unsalted butter,biscuit ),full-fat cream cheese,ricotta,double cream,medium free-range egg,caster sugar,tbsp cornflour,vanilla pod,fresh blueberry,fresh blackberry,fig,tsp ice sugar,( optional ),mix,can,heat,cool,top,melt,beat,pop,combine
449,Baked rice pudding with raspberry sauce,30,,thai jasmine rice,oz whole milk,oz double cream,caster sugar,vanilla pod,freshly grate nutmeg,butter,tbsp ice sugar,raspberry,tbsp ice sugar,oz water,,,,boil,grease,blend,wash,bake,drain,grate,sieve,serve
450,Baked risotto,30,,tbsp olive oil,arborio risotto rice,â˝ red pepper,spring onion,tbsp frozen pea,small mushroom,cooked leftover chicken,boil water,stock bouillon powder,,,,,,boil,grease,oil,bake,serve,combine,cool,pour,stir
451,Baked rolled sole with white wine and dill sauce,30,,sole fillet,butter,â˝ lemon,ground black pepper,tbsp white wine,tbsp double cream,tsp dijon mustard,â˝ lemon,handful fresh dill,,,,,,thicken,boil,juice,roll,grease,drizzle,simmer,salt,bake
452,Baked Roquefort with figs and balsamic onions,30,,oatcake,melt butter,ricotta cheese,full-fat soft cheese,free-range egg,ground black pepper,roquefort cheese,dry fig,oz balsamic vinegar,caster sugar,freshly grate nutmeg,baby onion,garlic clove,ground black pepper,boil,melt,mix,wedge,drizzle,simmer,salt,bake,dry
453,Baked salmon served with seafood and  pesto potato,60,,fresh salmon,unwaxed lemon,garlic clove,fresh flatleaf parsley,clam,fresh prawn,mussel,fresh cherry tomato,dry white wine,virgin olive oil,black pepper taste,new potato,tbsp pesto sauce,black pepper taste,bone,boil,juice,mix,drizzle,oil,salt,bake,drain
454,Baked samosas,60,,potato,carrot,pea,tbsp olive oil,tsp cumin seed,onion,green chilli,¼ tsp salt,tsp ground coriander,garam masala,handful coriander leaf,wholemeal flour,tsp olive oil,salt,mix,blend,fry,process,bake,heat,boil,roll,mash
455,Baked salmon with chorizo rice,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_salmon_with_00771_16x9.jpg,chorizo,onion,garlic clove,rice arborio rice,tomato,butter,tbsp parsley,oz chicken stock,ground black pepper,salmon fillet,smoke salmon,lemon,,,trim,juice,fry,oil,salt,bake,serve,roast,top
456,Baked salmon with parmesan and parsley crust,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedsalmonwithparme_72802_16x9.jpg,salmon fillet,ground black pepper,cream cheese,small clove garlic,½ lemon,fresh white breadcrumb,fresh,chopped fresh parsley,paprika,,,,,,garnish,mix,mash,grease,salt,bake,serve,roast,season
457,"Baked sea bass, parsley mayonnaise and walnut truffle pesto",30,,fresh flatleaf parsley,oz vegetable oil,free-range egg yolk,white wine vinegar,tbsp english mustard,lemon,virgin olive oil,walnut,garlic clove,sprig fresh thyme,fresh black truffle,parmesan,white truffle oil,sea bass fillet,blend,fry,heat,cool,top,slice,combine,roast,season
458,"Baked sea bass with braised baby purple artichokes, asparagus and a white wine foam",30,,tbsp olive oil,whole sea bass,bunch fresh basil,baby purple artichoke,oz olive oil,butter,oz white wine,lemon,oz double cream,bunch asparagus,tbsp olive oil,butter,shallot,oz white wine,blend,fry,bake,can,heat,top,strain,boil,simmer
459,Baked scallops,40,,scallop,butter,â˝ red chilli,breadcrumb,ground black pepper,handful watercress,,,,,,,,,melt,shell,salt,serve,grill,season,top,scallop,
460,Baked scallops with sunblush tomatoes and chilli,40,,scallop,scallop shell,sunblush tomato,spring onion,½ lime,½ red chilli,tbsp soy sauce,,,,,,,,bake,shell,scallop,serve,,,,,
461,Baked sea bream Rota-style,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_sea_bream_28386_16x9.jpg,large waxy potato,tbsp olive oil,large onion,garlic clove,large green pepper,tomato,bay leaf,whole sea bream,½ lemon,tbsp dry sherry,handful flatleaf parsley,ground black pepper,handful flatleaf parsley,large garlic clove,juice,warm,drizzle,oil,fry,salt,grind,bake,serve
462,Baked spaghetti,30,,spring onion,sun-dried tomato,black olive,rasher bacon,spaghetti,oz boil water,chopped tomato,bouillon powder,paprika,grate cheese,,,,,boil,sprinkle,grate,serve,cool,pour,stir,,
463,How to cook sea bream with garlic and rosemary,40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedseabreamwithgar_90179_16x9.jpg,sea bream,clove roast garlic,( taste ),sprig fresh rosemary,sea salt,dry white wine,oz good-quality,chopped parsley,lemon,,,,,,layer,steam,roll,juice,drizzle,oil,salt,sprinkle,dry
464,Baked Spanish risotto,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedspanishrisotto_70241_16x9.jpg,cherry tomato,red onion,garlic clove,tbsp olive oil,risotto rice,chicken thigh fillet,chorizo,chopped fresh rosemary,hot chicken stock,saffron strand,large,ground black pepper,,,mix,oil,salt,roast,sprinkle,stir,,,
465,Baked stuffed apples in cider,60,,granny smith apple,tbsp raisin,tbsp mincemeat,tbsp ground almond,cider,caster sugar,oz double cream,butter,,,,,,,boil,trim,mix,stir,core,bake,serve,caramelize,cool
466,"Baked pork spare rib chops with pears, potatoes, onions and Roquefort butter",150,,butter,roquefort cheese,waxy potato,sprig fresh thyme,tbsp olive oil,ground black pepper,red onion,small conference pear,spare rib chop,dark brown sugar,watercress,chicory,walnut shell,red wine vinegar,heat,top,melt,roll,mash,slice,roast,season,turn
467,Baked sticky toffee pudding with toffee sauce,60,,unsalted butter,brown demerara sugar,pit dry date,tbsp golden syrup,tbsp black treacle,vanilla bean paste,free-range egg,self-raising flour,tbsp bicarbonate soda,oz double cream,butter,dark brown sugar,tbsp black treacle,tbsp golden syrup,boil,mix,melt,blend,grease,bake,serve,combine,top
468,Baked sweet potato with easy black beans and purple slaw,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_sweet_potato_with_28134_16x9.jpg,( ),tbsp olive oil,½ small onion,garlic clove,tsp cumin seed,chilli flake,tin black bean,oz vegetable stock,ground black pepper,cheddar,small red cabbage,radish,½ red onion,sprig coriander,mix,juice,oil,fry,salt,simmer,bake,serve,season
469,Baked sweet potato with roasted vegetables and bulgur wheat,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_sweet_potato_with_42313_16x9.jpg,( ),tbsp olive oil,½ fennel bulb,½ red pepper,½ red onion,handful cherry tomato,bulgur wheat,sprig dill,ground black pepper,tbsp natural yoghurt,,,,,boil,mix,drizzle,oil,salt,bake,serve,combine,roast
470,Baked Vacherin Mont d'Or cheese with garlic bruschetta,30,,wooden box ),garlic clove,sprig fresh rosemary,tbsp olive oil,ground black pepper,slice baguette,tbsp olive oil,garlic clove,,,,,,,melt,bread,drizzle,oil,dip,salt,bake,slice,serve
471,Baked spider crab,30,,spider crab meat,olive oil,garlic clove,banana shallot,( use dry,oz brandy,cherry tomato,small sourdough,sriracha hot sauce,butter,chopped fresh parsley,sea salt,( pork cut,free-range egg,shell,warm,oil,fry,salt,bake,serve,deglaze,season
472,Baked tomato and cheese soufflé with courgette and herb salad,40,,beef tomato,free-range egg white,free-range egg yolk,edam cheese,ground black pepper,¼ courgette,fresh flatleaf parsley,handful fresh basil,handful fresh chive,tsp olive oil,tsp balsamic vinegar,,,,mix,oil,salt,bake,serve,fold,season,whisk,stir
473,Baked stuffed aubergine with walnut and Roquefort,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedstuffedaubergin_71986_16x9.jpg,large aubergine,garlic clove,small white onion,tomato,sprig fresh rosemary,sprig fresh thyme,virgin olive oil,ground black pepper,walnut,toast fresh breadcrumb,vegetarian roquefort cheese,tbsp olive oil,medium onion,garlic clove,blend,fry,score,bake,can,refrigerate,shred,heat,top
474,Baked vanilla tart with Earl Grey prunes,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_vanilla_tart_with_20763_16x9.jpg,prune,tea bag ),plain flour,ice sugar,salt,chill unsalted butter,free-range egg yolk,ground almond,double cream,tsp vanilla extract,free-range egg yolk,caster sugar,,,thicken,mix,blend,bake,heat,cool,top,boil,roll
475,Baked Welsh cake cheesecake,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_welsh_cake_68115_16x9.jpg,self-raising flour,salt,lard,butter,caster sugar,white chocolate,dry cranberry,free-range egg,tbsp milk,digestive biscuit,butter,tsp ground cinnamon,tsp ground nutmeg,cream cheese,mix,fry,bake,heat,cool,top,burn,melt,roll
476,Baked whole trout with a watercress salsa verde,30,,whole trout,½ bunch tarragon,lemon,watercress leaf,fresh flatleaf parsley,large spring onion,garlic clove,lemon,tbsp caper,tbsp dry breadcrumb,virgin olive oil,salt pepper,,,boil,process,salt,peel,drain,slice,serve,stuff,season
477,Bake-in-the-bag monkfish with preserved lemon couscous,30,,couscous,tsp ground cumin,tsp cumin seed,spring onion,preserve lemon,chopped fresh coriander,cherry tomato,monkfish fillet,virgin olive oil,tsp saffron thread,small fennel bulb,ground black pepper,cucumber,radish,mix,process,bake,heat,top,boil,slice,combine,cut
478,Rustic Bakewell tart,60,,ground almond,butter,caster sugar,free-range egg,vanilla extract,butter possible ),plain flour,tbsp raspberry jam,tbsp milk,flake whole almond,,,,,layer,mix,chill,beat,blend,roll,brush,bake,serve
479,Easy Bakewell tart,150,,plain flour,unsalted butter,sugar,free-range egg,tbsp milk,butter,sugar,ground almond,free-range egg,lemon,plain flour,jar cherry jam,flake almond,,dough,chill,brush,roll,beat,mix,bake,serve,combine
480,Bakewell tart,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakewell_tart_90600_16x9.jpg,plain flour,chill butter,tbsp cold water,tbsp raspberry jam,butter,caster sugar,ground almond,free-range egg,tsp almond extract,flake almond,ice sugar,tsp cold water,,,dough,mix,chill,roll,melt,sift,bake,sprinkle,measure
481,Bakewell tart with cranberry frangipane,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakewell_tart_with_20773_16x9.jpg,plain flour,big salt,cold butter,butter,caster sugar,ground almond,plain flour,free-range egg,without vinegar ),flake almond,ice sugar,,,,dough,mix,trim,roll,melt,beat,drizzle,salt,bake
482,Bakewell tart,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakewelltart_89618_16x9.jpg,plain flour,small free-range egg,free-range egg yolk,unsalted butter,caster sugar,salt,ground almond,ground almond,caster sugar,free-range egg,splash almond essence,tbsp raspberry jam,flake almond,,layer,dough,chill,trim,roll,grease,mix,warm,raw
483,Baklava bites,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baklava_bites_92701_16x9.jpg,pistachio kernel,caster sugar,tsp ground cinnamon,readymade filo pastry,cornflour,unsalted butter,clear honey,caster sugar,½ lime,cinnamon stick,lime,pistachio kernel,,,boil,melt,brush,warm,simmer,press,bake,serve,burn
484,Bakewell traybake,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakewell_tarts_64777_16x9.jpg,plain flour,cold unsalted butter,sugar,free-range egg,( optional ),unsalted butter,caster sugar,ground almond,free-range egg,lemon,plain flour,jar raspberry jam,flake almond,,dough,chill,brush,roll,beat,mix,bake,dry,fold
485,Baklava,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baklava_80243_16x9.jpg,ready use ),unsalted butter,mixed pistachio walnut,tbsp granulate sugar,tsp ground cardamom,oz granulate sugar,oz water,tbsp lemon juice,orange blossom water,,,,,,layer,melt,mix,juice,grease,microwave,serve,cut,heat
486,Balsamic figs with roasted duck breast and crispy leeks,30,,duck breast,fresh fig,tbsp honey,tbsp balsamic vinegar,tbsp butter,tbsp vegetable oil,new potato,ground black pepper,oil deep fry,leek,,,,,garnish,fry,oil,score,salt,grate,drain,serve,brown
487,Balsamic glazed lamb with marinated courgette ribbons,30,,lamb leg steak,tbsp olive oil,ground black pepper,tbsp balsamic vinegar,courgette,white wine vinegar,tbsp olive oil,ground black pepper,chopped fresh mint,chopped fresh dill,chopped fresh parsley,,,,brush,marinate,oil,salt,serve,slice,top,toss,season
488,Balinese Rice Pudding,30,,asian grocer ),sugar,pandan leaf,oz coconut milk,salt,fresh coconut,,,,,,,,,boil,garnish,salt,drain,serve,soak,heat,cool,pour
489,"Balsamic and honey-glazed steak with spinach, spicy potatoes and rosemary oil",30,,rump steak,tbsp olive oil,tbsp balsamic vinegar,tbsp clear honey,potato,tbsp olive oil,tbsp olive oil,sprig fresh rosemary,unsalted butter,tbsp olive oil,spinach,ground black pepper,,,melt,juice,drizzle,oil,fry,salt,slice,serve,infuse
490,Balsamic-glazed sesame salmon with spicy cherry tomatoes and spinach,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/balsamicglazedsesame_83963_16x9.jpg,salmon fillet,ground black pepper,tsp olive oil,tbsp balsamic vinegar,tsp honey,sesame seed,tbsp olive oil,large handful spinach,cherry tomato,dry chilli flake,,,,,thicken,fry,heat,top,skin,simmer,grill,season,turn
491,Balsamic tomato chicken with roast potatoes,30,,tbsp olive oil,baby new potato,skinless chicken breast,cherry tomato,dark soy sauce,splash balsamic vinegar,garlic clove,ground black pepper,,,,,,,boil,warm,drizzle,oil,fry,salt,serve,roast,brown
492,"Balsamic, maple and molasses-dipped roast lamb",120,,splash olive oil,red onion,garlic clove,bottle red wine,oz balsamic vinegar,tbsp butter,tbsp honey,tbsp molasses,tbsp maple syrup,small handful rosemary,small handful thyme,garlic clove,ground black pepper,splash olive oil,thicken,mix,can,heat,boil,simmer,thin,slice,roast
493,Baltic crab salad,30,,free-range egg,virgin olive oil,lemon,fresh brown crabmeat,fresh white crabmeat,chopped fresh chervil,chopped fresh dill,dill cucumber,tsp baby caper,tbsp celery,cooked crayfish tail,fresh chervil sprig,duck egg,,layer,garnish,mix,juice,oil,salt,press,serve,sieve
494,Banana and chocolate parachute parcels,30,,small ripe banana,tsp chocolate,sheet filo pastry,tsp vegetable oil,,,,,,,,,,,layer,mix,brush,mash,grease,process,oil,bake,fold
495,Banana and blueberry ice cream,120,,lemon,mascarpone,tbsp ice sugar,blueberry,ripe banana,wafer biscuit,,,,,,,,,mix,juice,mash,serve,combine,ice,sprinkle,cream,scoop
496,Banana and chocolate chip loaf,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/banana_and_chocolate_74784_16x9.jpg,peel ),tbsp milk,butter baking spread,plain flour,caster sugar,tsp bicarbonate soda,tsp baking powder,free-range egg,dark chocolate chip,dark chocolate,,,,,mix,melt,beat,grease,mash,simmer,peel,bake,slice
497,Banana and maple syrup cake,60,,butter,plain flour,ripe banana,oz maple syrup,( optional ),caster sugar,free-range egg,tsp baking powder,pecan nut,oz double cream,,,,,thicken,blend,bake,cool,top,boil,beat,slice,combine
498,Banana and pecan cupcakes,30,,butter,caster sugar,egg,ripe banana,pecan,self-raising flour,butter,ice sugar,tbsp milk,,,,,,beat,mash,bake,fold,combine,ice,cool,top,chop
499,Banana and rum milkshake,30,,banana,tbsp dark rum,vanilla ice cream,oz milk,tbsp caster sugar,tsp grate nutmeg,ice cube,,,,,,,,ice,serve,,,,,,,
